"ElementId","Mark","Type","Revit FROM nr","Revit FROM name","Revit TO nr","Revit TO name","Written FROM nr","Written FROM name","Written TO nr","Written TO name","Changed","Detail"
"28858777","629","Exterior Door V21: W 1010 H 2100","44","Room 1","47","Udvendig 1","44","Room 1","44","Room 1","YES","TO 'Udvendig 1' (47) -> 'Room 1' (44)"
"28861918","630","Exterior Door V21: W 1010 H 2100","35","Bad","","","35","Bad","","","YES",""

"Schedule","Column","Was","Now","Result"
"Door Casing FROM @V03","Rum","FromRoom","04-SCRP Nam fr","swapped"
"Door Casing FROM @V03","From Room: Number","FromRoom","02-SCRP Num fr","SKIPPED - a filter or sort rule uses it"
"Door Casing FROM @V03","From Room: Department","FromRoom","-","no mapping for this column"
"Door Casing TO @V03","Rum","ToRoom","05-SCRP Nam to","swapped"
"Door Casing TO @V03","To Room: Number","ToRoom","03-SCRP Num to","SKIPPED - a filter or sort rule uses it"
"Door Casing TO @V03","To Room: Department","ToRoom","-","no mapping for this column"
"Ext Door Casing @V05","To Room: Name","ToRoom","05-SCRP Nam to","swapped"
"Ext Door Casing @V05","From Room: Name","FromRoom","04-SCRP Nam fr","swapped"
"Ext Door Casing @V05","To Room: Department","ToRoom","-","no mapping for this column"
"Ext Door Casing @V05","Rum nr","FromRoom","02-SCRP Num fr","swapped"
"Ext Door Casing @V05","To Room: Number","ToRoom","03-SCRP Num to","swapped"
"Ext Door Casing @V05","From Room: Department","FromRoom","-","no mapping for this column"
"Door Casing FROM @C01","From Room: _Rum Name","FromRoom","-","no mapping for this column"
"Door Casing FROM @C01","From Room: _Rum Num","FromRoom","-","no mapping for this column"
"Door Casing FROM @C01","From Room: _Lejlighed","FromRoom","-","no mapping for this column"
"Door Casing TO @C01","To Room: _Rum Name","ToRoom","-","no mapping for this column"
"Door Casing TO @C01","To Room: _Rum Num","ToRoom","-","no mapping for this column"
"Door Casing TO @C01","To Room: _Lejlighed","ToRoom","-","no mapping for this column"
"Ext Door Casing @C01","To Room: _Rum Num","ToRoom","-","no mapping for this column"
"Ext Door Casing @C01","To Room: _Rum Name","ToRoom","-","no mapping for this column"
"Ext Door Casing @C01","To Room: _Lejlighed","ToRoom","-","no mapping for this column"
"Ext Door Casing @C01","From Room: _Rum Name","FromRoom","-","no mapping for this column"
"Ext Door Casing @C01","From Room: _Rum Num","FromRoom","-","no mapping for this column"
"Ext Door Casing @C01","From Room: _Lejlighed","FromRoom","-","no mapping for this column"
