"ElementId","Mark","Category","Family","Type","HostWallId","Lining YN before","Lining YN after","Material before","Material after","Top YN before","Top YN after","Left YN before","Left YN after","Right YN before","Right YN after","Lining Change before (mm)","Lining Change after (mm)","Predicted total (mm)","Predicted schedule qty (Lbm)","Actual total (mm)","Changed","Detail"
"28294748","610","Doors","Exterior Door V21","W 1010 H 1775","28280821","No","No","DDL","DDL","1","1","1","1","1","1","0.0","0.0","4488.0","4.49","","no","Lining YN is off -- excluded from the lining schedule"
"28294299","1867","Windows","Exterior Window Mullion V7","W 900 x H 435","28343254","No","No","WDL","WDL","1","1","1","1","1","1","0.0","0.0","1698.0","1.7","","no","Lining YN is off -- excluded from the lining schedule"
"28294565","1868","Windows","Exterior Window Mullion V7","W 1800 x H 435","28280821","No","No","WDL","WDL","1","1","1","1","1","1","0.0","0.0","2598.0","2.6","","no","Lining YN is off -- excluded from the lining schedule"
"28297628","611","Doors","Exterior Door V21","W 910 H 2100","28340155","No","No","DDL","DDL","1","1","1","1","1","1","0.0","0.0","5038.0","5.04","","no","Lining YN is off -- excluded from the lining schedule"
"28294109","1865","Windows","Exterior Window Mullion V7","W 1300 x H 1200","28340509","No","No","WDL","WDL","1","1","1","1","1","1","0.0","0.0","3628.0","3.63","","no","Lining YN is off -- excluded from the lining schedule"
"28294161","1866","Windows","Exterior Window Mullion V7","W 1300 x H 1200","28340509","No","No","WDL","WDL","1","1","1","1","1","1","0.0","0.0","3628.0","3.63","","no","Lining YN is off -- excluded from the lining schedule"
"28298091","613","Doors","Exterior Door V21","W 910 H 2100","28280074","No","No","DDL","DDL","1","1","1","1","1","1","0.0","0.0","5038.0","5.04","","no","Lining YN is off -- excluded from the lining schedule"
"28366565","619","Doors","Exterior Door V21","W 910 H 2100 (1016)","28361856","No","No","DDL","DDL","1","1","1","1","0","0","0.0","0.0","2962.0","2.96","","no","Right blocked 2076 mm by 28446720 [1906] (gap 24 mm) | Lining YN is off -- excluded from the lining schedule"
"28428151","663","Doors","Exterior Door V21","W 1010 H 2100 (1017)","28426708","No","No","DDL","DDL","1","1","1","1","0","0","0.0","0.0","3062.0","3.06","","no","Right blocked 2076 mm by 28430241 [1905] (gap 14 mm) | Lining YN is off -- excluded from the lining schedule"
"28370261","1873","Windows","Exterior Window Mullion V7","W 1300 x H 1200","28361856","No","No","WDL","WDL","1","1","1","1","1","1","0.0","0.0","3628.0","3.63","","no","Lining YN is off -- excluded from the lining schedule"
"28370419","1874","Windows","Exterior Window Mullion V7","W 1600 x H 1500","28361856","No","No","WDL","WDL","1","1","1","1","1","1","0.0","0.0","4528.0","4.53","","no","Lining YN is off -- excluded from the lining schedule"
"28428411","1903","Windows","Exterior Window Mullion V7","W 1300 x H 1200","28426708","No","No","WDL","WDL","1","1","1","1","1","1","0.0","0.0","3628.0","3.63","","no","Lining YN is off -- excluded from the lining schedule"
"28428553","1904","Windows","Exterior Window Mullion V7","W 700 x H 1100","28426708","No","No","WDL","WDL","1","1","1","1","1","1","0.0","0.0","2828.0","2.83","","no","Lining YN is off -- excluded from the lining schedule"
"28430241","1905","Windows","Exterior Window Mullion V7","W 300 x H 2100","28426708","No","No","WDL","WDL","1","1","0","0","1","1","0.0","0.0","2352.0","2.35","","no","Left blocked 2076 mm by 28428151 [663] (gap 14 mm) | Lining YN is off -- excluded from the lining schedule"
"28446720","1906","Windows","Exterior Window Mullion V7","W 300 x H 2100","28361856","No","No","WDL","WDL","1","1","1","1","0","0","0.0","0.0","2352.0","2.35","","no","Right blocked 2076 mm by 28366565 [619] (gap 24 mm) | Lining YN is off -- excluded from the lining schedule"
